text,sentiment,prep_processed_text
"Being a veteran just totally got me out of a ticket. I'm elated right now, close call.",joy,veteran totally get ticket elated right close
What an exhilarating last minute of overtime #WCH2016,joy,exhilarate minute overtime wch2016
@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle ,anger,live event Brock vs Orton 2 Saturday WWE Network need wwe
@KatieBurnett ha freshers blues would love to re do all again ... ha nice tshirt .. vote for Pedro,sadness,ha fresher blue love ha nice tshirt vote Pedro
"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",anger,JK fun relax massage chill eat cucumber place frown
"@AdsByFlaherty And you're cheerfully defending a group of unchecked, armed thugs who've shown a history of racism, violence, and lies.",joy,cheerfully defend group unchecked armed thug show history racism violence lie
omg i just heard my dads alarm go off have i really been up all this time,fear,omg hear dad alarm time
It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ðŸ˜’,sadness,begin lady gent war racism begin sadness Segregation continue smh
I remember when Rooney wanted to leave United and the fans threaten to kill the man and bare junk... wanna regretting that now? ðŸ˜‚ðŸ˜‚,fear,remember Rooney want leave United fan threaten kill man bare junk wanna regret
"@LucidBurrito Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday",sadness,nt literally pull office cause complain spit sink yesterday
and apparently he's supposed to have a Scottish accent??? I'm ,anger,apparently suppose scottish accent
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,sadness,tell chiropractor good time long time question habit unnerve doctor
Follow me on Snapchat ðŸ‘» Carlabtst15 #snapchat ,anger,follow Snapchat dY Carlabtst15 snapchat
i have so much hw tonight im offended,anger,hw tonight m offend
Icon is pochama.\nHe is very cute and easily elated.,joy,Icon cute easily elated
That house on #GrandDesigns isn't in a forest it's in a wibbly wobbly pine plantation,sadness,house GrandDesigns forest wibbly wobbly pine plantation
"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",anger,hater teach hate show love good quote go comment tiff treat
and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?',anger,naoto nod like tha band frown band Papa Roach concert
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,sadness,absurd laugh right feel like cry future country despair wakeupcall
@ESPNLosAngeles best segment so far by @marcelluswiley @Kdubblive  hilarity,joy,good segment far hilarity
@OstinOng YUUUHH ðŸ™„ðŸ˜­ plus clin ep and prevmed ugghhh hahaha ,anger,YUUUHH dy plus clin ep prevme ugghhh hahaha
Caballero's passing remains absolutely dreadful I see!,fear,Caballero passing remain absolutely dreadful
@fillegrossiere @PeasParsley @tombrodude bobs burgers is an animated show. Maybe Bob looks like him. They would cast him based on voice too,joy,bob burger animated maybe Bob look like cast base voice
"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",fear,feel like house basic requirement literally option discourage
"To all who follow me, whether we've ever talked or not hope you have a joyous life. Goodbye.",joy,follow talk hope joyous life goodbye
I should really study today for chemistry but playing madden is just way more fun.,anger,study today chemistry play madden way fun
Question for all the cheerleaders who ages out!!\nHow to I make my senior year of cheer more memorable,joy,question cheerleader age senior year cheer memorable
I dread math ðŸ˜´,fear,dread math
felt a bit shit getting a very high blood sugar then i remembered it's my first one above 15 this week which is incredible for me! #happy,joy,feel bit shit get high blood sugar remember 15 week incredible happy
@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen,anger,true player cop drink chill bitter player Walter Mitty type
"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",joy,brilliant lose joyous plot year admit fan
@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything #shy,fear,preordere Pale EP pay phone freak say shy
#Always #borrow #money from a #pessimist. He won't #expect it #back.,sadness,borrow money pessimist wo expect
One way ticket to the blues.,sadness,way ticket blue
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on. ",fear,ntfc mourinho worried bring Ibra Rushford
Bloods boiling,anger,blood boil
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,woman like girl resent look great wish look like wash
I need a bit of #GBBO to cheer me up after a terrible day!,joy,need bit GBBO cheer terrible day
Halloween party coming soon! #turnt #ruinT #lit #firesauce #hotsauce #mildsauce #getsauced #champagnedreams #scary #haunt #kittens,fear,Halloween party come soon turnt ruinT light firesauce hotsauce mildsauce getsauce champagnedream scary haunt kitten
Bayern Munich pitch is horrific,fear,Bayern Munich pitch horrific
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,anger,wonder american city protest police shooting smh whenwillitstop howmanymoretime
"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney",fear,finally start homefronttherevolution story gameplay terrible wasteofmoney
Isaiah 40:31\nthose who trust in the Lord will find new strength.\nThey will soar high on wings like eagles.\nThey will run and not grow weary.,sadness,Isaiah trust Lord find new soar high wing like run grow weary
@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,stop laugh sad
Studying the phases of oscillation. How jovial. ðŸ˜ðŸ”«,joy,study phase oscillation jovial
I'm just doing what u should b doing just minding my business and grinding relentless @LITO615,anger,u b mind business grind relentless
"@kikibug13 Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)",sadness,look unhappy get email notif thank
"@AnneMarieIAm Heard #alarm 1. time in Germany today #youFM, TG finally .. and far far too late. Germany always late w UK artists!!ðŸ˜¡ðŸ˜ ",fear,Heard alarm 1 time Germany today youfm tg finally far far late Germany late w UK
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,year irrelevant absolute joke manutd ticket fume noloyalty joke notimpresse
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP ðŸš´100k #apprehension?,fear,feel like bad night sleep great London Brighton cycle ride apprehension
Thank God she warned me before I walked to that sink cause lord knows I would've been sick to my stomach and would've wanted to sue lbvfs,sadness,thank God warn walk sink cause lord know sick stomach want sue lbvfs
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear,ban go harm people disabled veteran people chronicpain anxiety iamkratom
@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,anger,white cop kill black people outrage strange society
I'm really hitting all flavors of my sparkling water rap. But you know what's tripping me out? These half French and Spanish flavors.,joy,hit flavor sparkling water rap know trip half french spanish flavor
@FullTimeDEVILS Memphis looking bright. Rojo looking like Rojo.,joy,Memphis look bright rojo look like Rojo
Thiza!!! What happens now when you tell him you're pregnant via home test &amp; nurse later tells you it's a false alarm &amp; BaE is too excitedðŸ™Š,fear,Thiza happen tell pregnant home test amp nurse later tell false alarm amp BaE exciteddy s
Now it's time to remove CB from the team somehow. Screw it. Rip the Band-Aid off. It'll sting for a bit but everyone will get over it.,anger,time remove CB team screw rip Band aid ste bit
Forever angry that gh ruined Molly and morgan's bond/friendship ,anger,forever angry gh ruin Molly morgan bond friendship
Just want to be a dad so i can play kick the baby with my little one #southpark #mellogang  #edm #plur #dad #djlife #dj #producer,fear,want dad play kick baby little southpark mellogang edm plur dad djlife dj producer
"When your body says FUCK YOU BITCH, You ain't sleeping\n #sleep #cantsleep #drained ",fear,body say FUCK BITCH ai sleep cantsleep drain
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger,apparently contact Sofas mean deliver today old one go sit floor sofa fume
@KateyKeegan now I'm really excited for November! Hope they're not all horrid chavs though ðŸ˜…,fear,excited November hope horrid chavs
Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!,joy,Zephaniah surely rejoice singing romance need today
@marthalyssa yep. LOL ,anger,yep lol
$SRPT Why would Etep patients &amp; Mom's advocate for a drug if it did not work? Anyone listen to the Etep MD's @ Adcomm.. all were elated.,joy,SRPT Etep patient amp Mom advocate drug work listen Etep MD Adcomm elated
@zinabukvic_ cheer up,joy,cheer
having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling,joy,have pet store worker ask want play exhilarating feeling
i wonder how gleeful it is to be dumb af and see the world through rose tinted glasses,joy,wonder gleeful dumb af world rose tinted glass
I'd rather die alone then end up with somebody who can't be sober,sadness,die end somebody sober
@97_aleix having a terrific game and not at all fazed #MCFC,fear,have terrific game faze mcfc
When your sister is 19 and throws legitimate temper tantrums just to get attention..,anger,sister 19 throw legitimate temper tantrum attention
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,joy,retweete GunnySmith93 like today happy alive bless
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,year irrelevant absolute joke manutd ticket noloyalty joke notimpresse
Drop Snapchat names #bored #snap #swap #pics,anger,drop snapchat name bore snap swap pic
Omg he kissed herðŸ™ˆ  #w,fear,Omg kiss herdy w
