text,sentiment
I feel like I am drowning. #depression #anxiety #falure #worthless,fear
I get so nervous even thinking about talking to ****** I wanna die,fear
I lost my blinders .... #panic,fear
I feel like I am drowning. #depression  #falure #worthless,fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear
@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems,fear
@laura221b I don't think I've ever moved so fast in a panic in all my life ðŸ˜‚ Gave me such a fright ðŸ˜“,fear
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear
My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.,fear
"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear
#panic Panic attack from fear of starting new medication,fear
Job interview in the afternoon #nervous #ek,fear
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me ,fear
anxiety level- 100,fear
Wah just woke up frm a fucking nightmare,fear
I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death,fear
Cosplaying properly for the first time on Saturday! Pretty nervous..,fear
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",fear
"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist",fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear
"Ever been really lonely and your phone keeps blowing up, but you just canâ€™t pick it up and respond to people? #anxiety #recluse  #issues",fear
Super shitting it about this tattoo #nervous,fear
Breaking out in hives for the first time since college finals. #anxiety sucks,fear
@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.,fear
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me #frightened,fear
6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed,fear
I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...,fear
He replied to my comments 4 times now i'm shaking omg,fear
"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life",fear
Just want Saturday to be over but then again I want to do good #LSAT #nervous,fear
"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear
I was literally shaking getting the EKG done lol ðŸ™„,fear
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear
@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear
@RosieBalls I fear for the future of mankind,fear
First day of college feeling nervous,fear
"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out",fear
@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,fear
Gonna get some acupuncture today for all my damn anxiety ðŸ™ƒðŸ¤•,fear
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,fear
@p4pictures it would be great but what if the card crashes ðŸ˜±. It's happened to me twice #nightmare,fear
@corruptmelon now im feeling the #worry,fear
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ðŸ˜¥ðŸ˜¥,fear
i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite,fear
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear
Today was horrible and it was only half a day,fear
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",fear
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",fear
@RoseTintMyWorId fucking hell mate absolute nightmare ðŸ˜“,fear
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate ",fear
Life long fear of havin a shit and a spider crawls up ya bum,fear
"What a shamefull, unequal, dangerous and worrying world we live in nowadays!  #terrifying #Charlotte #terrorism #shitworldforourkids",fear
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,fear
"I start work tmrw yall, i'm nervous lol",fear
I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,fear
I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic,fear
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel #intimidation,fear
Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo,fear
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP ðŸš´100k ?,fear
Do you think humans have the sense for recognizing impending doom? #anxiety,fear
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM  #SingleGirlProblems,fear
im literally shaking bc im nervous and bc its fucking cold oh how i love life,fear
I feel horrible. I have accounting today but physically and mentally am not okay ðŸ˜ª,fear
@BigBossPeltonen \nLikewise #death #cutting #despair,fear
I am about to be a coward and I feel terrible. But I can't even face this ðŸ˜­,fear
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror",fear
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,fear
@OutdoorLoverz is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid,fear
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. ðŸ™…ðŸ½ðŸ˜³,fear
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear
I just deleted my save file trying to load it up. Now I have to start. All. Over. Again. I am going to freaking kill someone. Pray for me.,fear
@RossKemp Omg that is just horrific. Something needs to be done. ðŸ˜¢,fear
I'm getting so nervous for my first anatomy exam ðŸ˜©,fear
@camilluddington the fact that YOURE nervous makes me want to crawl in a hole,fear
mm nothing like a good old fashioned panic induced cry on your living room floor,fear
r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear
"In #Bangladesh war, #US almost bombed us had #Russia not been there. What strategy for #China on #Pakistan? Time ripe to crush #terror camps",fear
I have another test tonight #nervous,fear
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",fear
Can't believe how nervous I feel tonight...who feels the same #mufc,fear
@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough,fear
@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough,fear
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear
She was so posh it frightened me. I'm still scared.,fear
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",fear
ï˜« ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,fear
I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. ðŸ˜• #insomnia #anxiety #notfair,fear
Jimmy Carr makes me want to cry and cry *shiver* ,fear
in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat,fear
Jimmy Carr makes me want to cry and cry *shiver* #awful,fear
Being forced into a fake hug by someone who didnâ€™t flinch to get litigious with you in the past - #awful ðŸ˜–ðŸ‘ºðŸ™…,fear
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear
Andrew's hands start shaking and he says 'I hope I die.. like right now',fear
I dread this drive every Wednesday ðŸ˜©,fear
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",fear
Maybe @SamHeughan can send me good luck on my job interview tomorrow. #nervous ðŸ˜³,fear
@alivitali that's what I'm afraid of!,fear
So not pumped for this interview #nervous,fear
An @amityaffliction kind of drive home from work today #nightmare #dailyfeels,fear
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,fear
"When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott",fear
hi my names anxiety and i have shaun,fear
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,fear
@YahooCare data stolen in 2014 and only now do you tell us .,fear
I dread math ðŸ˜´,fear
@SusannahSpot I could pop round #nightmare,fear
@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear
How do you ever stop being #afraid of someone that you live with,fear
@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay,fear
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear
