text,sentiment
Depression sucks! #depression,sadness
Feeling worthless as always #depression,sadness
Feeling worthless as always ,sadness
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness
Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,sadness
So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness
Extreme sadness,sadness
my life in one word is depressing,sadness
Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,sadness
Feel so grim + ugly atm,sadness
Honestly depression is kicking my ass lately.. ðŸ˜”,sadness
At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness
"After 3 idk why I start feeling so depress, sad and lonely.",sadness
I sulk too much for my own good.,sadness
A night where depression is winning... #depression #fml #help,sadness
Going home is depressing,sadness
We can't even grieve over one black body before another one pops up due to pig brutality,sadness
It's a gloomy ass day,sadness
@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness
My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness
@Ashleyavitia_ don't leave me #sad,sadness
Depression sucks! ,sadness
It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,sadness
This the most depressing shit ever,sadness
Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch,sadness
"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",sadness
What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness
When you have 15 doe run the opposite side of you ðŸ™ #depression,sadness
The moment of the day when you have to start to plaster a smile in your face. #depression,sadness
I hate when it's gloomy outside because it always gets me in a depressing mood,sadness
People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,sadness
@FlakeJay ring ring! #depression is here,sadness
It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness
"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs",sadness
| At home sick... ðŸŽ¼The bluesðŸŽ¼ won't cure it so I need ideas ðŸŽ¸ðŸ˜­ | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,sadness
I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,sadness
sorry Main twitter im in depress,sadness
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",sadness
come to the funeral tomorrow at 12 to mourn the death of my gpa,sadness
"@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression",sadness
After spending Â£450 @Debenhams I was offered a Â£5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy,sadness
Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ðŸ˜ª,sadness
depress ðŸ˜­,sadness
"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness
Summer officially ends today. #sadness,sadness
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,sadness
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness
"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.",sadness
Im really constipated. This is depressing,sadness
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,sadness
Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness
@Christy_RTR @doge_e_fresh I'm despondent,sadness
2 applications for my dbs and still waiting. Been over a year now. Going to loose my job ðŸ‘ðŸ¿ @GOVUK  #thanks #unhappy #crb,sadness
I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ðŸ˜ž,sadness
@Hayles_101 The three R's depress me.,sadness
Too many gloomy days,sadness
The weather sure matches the mood in this state today.. #gloomy,sadness
and again dirty and  self loathing attitude  mope talking,sadness
Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU,sadness
Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops ðŸ‘ŽðŸ¾ðŸ‘ŽðŸ½ðŸ‘ŽðŸ»ðŸ‚ðŸ,sadness
My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,sadness
"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,sadness
"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",sadness
We have left #Maine. #sadness,sadness
"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",sadness
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness
It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200,sadness
The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,sadness
Never ever been this unhappy before in my life lmao,sadness
@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy,sadness
Condolences to the  JC and the Georges family.. #sad,sadness
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness
Groom gloom.,sadness
I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn,sadness
Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,sadness
@6itmap I can't help but feel melancholic!,sadness
@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness
If anybody needs me I'll be drowning my blues in a sea of whiskey ðŸ»,sadness
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
in health we did a think about depression and now i feel like i have it,sadness
@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair ðŸ˜©,sadness
So depressing that it's darker so much earlier now,sadness
@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if canâ€™t just Re-tweet,sadness
Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback ðŸ˜­ðŸ’”,sadness
It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ðŸ˜’,sadness
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost,sadness
"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",sadness
@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(,sadness
@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.,sadness
Baaarissshhhhh + sad song =  prefect night â€” feeling alone,sadness
im so gloomy today,sadness
Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.,sadness
. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices,sadness
Back in Cardiff after an amazing 10 days away ðŸ˜­ #depressing,sadness
so lost i'm faded,sadness
Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch,sadness
@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer,sadness
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",sadness
@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,sadness
@rockcock64 cum and despair,sadness
Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,sadness
i is sad,sadness
"Wanna pop some pills, sedate myself, and wake up tomorrow.",sadness
Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,sadness
"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",sadness
Don't wanna go to work but I want the money #sad,sadness
Wow the #Denver housing market is #depressing no places to buy in my range ðŸ˜¢ #FML,sadness
one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.,sadness
I have not nap for 3 days in a row I'm very unhappy rn,sadness
@megalvz literally was gloomy for an hour,sadness
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sadness
"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL",sadness
@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness
Condolences to the  JC and the Georges family.. ,sadness
"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",sadness
Literally being here makes me depress tbh,sadness
@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad,sadness
"This room is rather dreary, but we endure what we must.",sadness
where broken hearted lovers do cry away their gloom,sadness
Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans,sadness
@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness
@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness,sadness
Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness
I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol,sadness
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness
Smokeys dad is sad :/,sadness
"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",sadness
@ryyyshh story of my life. #lost,sadness
When will the weeks full of Mondays end?? #disheartened,sadness
@HannahFJames I'm distraught! ðŸ˜­ Candice and her pout can piss off,sadness
@HutchinsonDave I don't know whether to despair or agitate for a cull.,sadness
Can I just sulk in peace ðŸ˜‚,sadness
